Main	2011 6-Year Grad Rate	Underrepresented Minority 6-Year Grad Rate	% Pell Recipients Among Freshmen	% Underrepresented Minority	Average High School GPA Among College Freshmen	Estimated Median SAT / ACT	"Total Price for In-State, On-Campus Students"	Average Net Price After Grants	State	Size (Undergrad FTE)	Sector	Carnegie Class
Western Michigan University	55.9%	46.1%	35.0%	12.6%	3.24	"1,050"	"$21,315"	"$14,672"	MI	"18,200"	Public	Research High
California State University-Long Beach	54.0%	48.8%	47.0%	35.9%	3.44	"1,025"	"$20,675"	"$6,455"	CA	"24,225"	Public	Masters Large
Northern Arizona University	51.8%	40.5%	37.0%	22.9%	3.40	"1,060"	"$21,171"	"$13,131"	AZ	"17,940"	Public	Research High
California State Polytechnic University-Pomona	50.3%	39.4%	39.0%	36.4%	3.41	"1,055"	"$18,604"	"$6,789"	CA	"16,869"	Public	Masters Large
California State University-Fullerton	50.1%	46.5%	38.0%	35.7%	3.27	"1,000"	"$20,010"	"$4,294"	CA	"25,157"	Public	Masters Large
Old Dominion University	50.0%	44.6%	32.0%	29.2%	3.26	"1,055"	"$18,848"	"$12,011"	VA	"15,952"	Public	Research High
Kent State University at Kent	49.5%	40.2%	39.0%	11.6%	3.19	"1,050"	"$23,200"	"$17,489"	OH	"19,418"	Public	Research High
San Francisco State University	46.5%	38.7%	39.0%	24.6%	3.12	"1,010"	"$23,476"	"$10,397"	CA	"22,365"	Public	Masters Large
San Jose State University	46.4%	37.1%	38.0%	27.6%	3.28	"1,010"	"$21,586"	"$11,723"	CA	"19,786"	Public	Masters Large
Middle Tennessee State University	44.8%	42.9%	48.0%	20.2%	-	"1,030"	"$18,225"	"$9,148"	TN	"20,945"	Public	Doctoral/Research
Florida Atlantic University	42.5%	41.9%	38.0%	39.3%	3.30	"1,070"	"$16,101"	"$11,919"	FL	"17,269"	Public	Research High
University of Wisconsin-Milwaukee	40.4%	21.5%	37.0%	13.4%	3.05	"1,010"	"$20,097"	"$11,926"	WI	"22,362"	Public	Research High
University of Nevada-Las Vegas	39.5%	35.9%	44.0%	26.5%	3.23	"1,015"	"$22,708"	"$9,943"	NV	"18,527"	Public	Research High
Portland State University	38.3%	32.7%	39.0%	11.0%	3.34	"1,050"	"$21,776"	"$12,168"	OR	"16,797"	Public	Research High
University of Akron Main Campus	38.0%	11.4%	50.0%	16.6%	2.98	-	"$21,827"	"$14,601"	OH	"19,314"	Public	Research High
Indiana University-Purdue University-Indianapolis	32.7%	24.8%	42.0%	13.5%	3.27	"1,005"	"$23,221"	"$11,777"	IN	"18,092"	Public	Research High
